RedRatio,GreenRatio,BlueRatio,Class
0.417,0.361,0.222,0
0.400,0.371,0.229,0
0.412,0.353,0.235,0
0.424,0.364,0.212,0
0.406,0.375,0.219,0
0.419,0.355,0.226,0
0.419,0.355,0.226,0
0.419,0.355,0.226,0
0.419,0.355,0.226,0
0.419,0.355,0.226,0
0.406,0.375,0.219,0
0.424,0.364,0.212,0
0.400,0.371,0.229,0
0.400,0.371,0.229,0
0.400,0.371,0.229,0
0.417,0.361,0.222,0
0.405,0.378,0.216,0
0.410,0.359,0.231,0
0.429,0.357,0.214,0
0.426,0.362,0.213,0
0.415,0.358,0.226,0
0.414,0.362,0.224,0
0.419,0.355,0.226,0
0.420,0.362,0.217,0
0.413,0.360,0.227,0
0.410,0.359,0.231,0
0.407,0.358,0.235,0
0.400,0.365,0.235,0
0.400,0.365,0.235,0
0.391,0.368,0.241,0
0.384,0.372,0.244,0
0.388,0.365,0.247,0
0.378,0.378,0.244,0
0.373,0.373,0.253,0
0.361,0.386,0.253,0
0.361,0.386,0.253,0
0.356,0.391,0.253,0
0.356,0.389,0.256,0
0.351,0.392,0.258,0
0.354,0.389,0.257,0
0.364,0.379,0.258,0
0.383,0.364,0.253,0
0.389,0.363,0.248,0
0.388,0.364,0.248,0
0.387,0.363,0.250,0
0.383,0.369,0.248,0
0.381,0.367,0.252,0
0.379,0.364,0.258,0
0.371,0.362,0.267,0
0.363,0.363,0.275,0
0.355,0.366,0.280,0
0.357,0.369,0.274,0
0.355,0.368,0.276,0
0.354,0.367,0.278,0
0.354,0.367,0.278,0
0.346,0.372,0.282,0
0.356,0.370,0.274,0
0.347,0.375,0.278,0
0.357,0.371,0.271,0
0.352,0.366,0.282,0
0.353,0.368,0.279,0
0.355,0.371,0.274,0
0.356,0.373,0.271,0
0.351,0.368,0.281,0
0.350,0.367,0.283,0
0.344,0.377,0.279,0
0.339,0.371,0.290,0
0.338,0.382,0.279,0
0.342,0.370,0.288,0
0.352,0.366,0.282,0
0.353,0.368,0.279,0
0.343,0.373,0.284,0
0.343,0.371,0.286,0
0.353,0.368,0.279,0
0.357,0.371,0.271,0
0.355,0.368,0.276,0
0.349,0.373,0.277,0
0.352,0.374,0.275,0
0.352,0.374,0.275,0
0.351,0.372,0.277,0
0.347,0.368,0.284,0
0.348,0.370,0.283,0
0.348,0.371,0.281,0
0.352,0.374,0.275,0
0.355,0.366,0.280,0
0.351,0.371,0.278,0
0.356,0.366,0.277,0
0.356,0.366,0.277,0
0.363,0.363,0.275,0
0.362,0.362,0.276,0
0.364,0.364,0.273,0
0.365,0.365,0.270,0
0.364,0.364,0.273,0
0.365,0.357,0.278,0
0.365,0.357,0.278,0
0.367,0.359,0.273,0
0.369,0.361,0.270,0
0.371,0.362,0.267,0
0.372,0.363,0.265,0
0.376,0.358,0.266,0
0.379,0.359,0.262,0
0.374,0.364,0.262,0
0.373,0.364,0.264,0
0.370,0.361,0.269,0
0.371,0.362,0.267,0
0.375,0.365,0.260,0
0.372,0.362,0.266,0
0.374,0.363,0.264,0
0.374,0.363,0.264,0
0.367,0.367,0.267,0
0.367,0.367,0.266,0
0.373,0.360,0.267,0
0.377,0.362,0.261,0
0.381,0.365,0.254,0
0.383,0.367,0.250,0
0.382,0.364,0.255,0
0.392,0.353,0.255,0
0.396,0.354,0.250,0
0.405,0.357,0.238,0
0.421,0.342,0.237,0
0.424,0.364,0.212,0
0.433,0.367,0.200,0
0.448,0.345,0.207,0
0.433,0.367,0.200,0
0.424,0.364,0.212,0
0.421,0.368,0.211,0
0.415,0.366,0.220,0
0.409,0.364,0.227,0
0.408,0.367,0.224,0
0.389,0.370,0.241,0
0.386,0.368,0.246,0
0.377,0.377,0.246,0
0.387,0.371,0.242,0
0.379,0.379,0.242,0
0.368,0.382,0.250,0
0.365,0.378,0.257,0
0.359,0.385,0.256,0
0.358,0.383,0.259,0
0.352,0.386,0.261,0
0.344,0.389,0.267,0
0.344,0.387,0.269,0
0.337,0.389,0.274,0
0.333,0.385,0.281,0
0.337,0.385,0.279,0
0.339,0.385,0.275,0
0.336,0.387,0.277,0
0.344,0.384,0.272,0
0.344,0.382,0.275,0
0.348,0.384,0.268,0
0.353,0.381,0.266,0
0.364,0.379,0.257,0
0.370,0.377,0.254,0
0.370,0.377,0.254,0
0.376,0.368,0.256,0
0.378,0.370,0.252,0
0.377,0.369,0.254,0
0.382,0.373,0.245,0
0.388,0.367,0.245,0
0.393,0.369,0.238,0
0.397,0.368,0.235,0
0.400,0.364,0.236,0
0.422,0.356,0.222,0
0.425,0.350,0.225,0
0.432,0.324,0.243,0
0.429,0.343,0.229,0
0.424,0.333,0.242,0
0.433,0.333,0.233,0
0.414,0.345,0.241,0
0.414,0.345,0.241,0
0.406,0.344,0.250,0
0.400,0.343,0.257,0
0.385,0.359,0.256,0
0.390,0.341,0.268,0
0.381,0.357,0.262,0
0.381,0.357,0.262,0
0.375,0.350,0.275,0
0.371,0.343,0.286,0
0.357,0.357,0.286,0
0.333,0.375,0.292,0
0.333,0.333,0.333,0
0.318,0.364,0.318,0
0.304,0.348,0.348,0
0.320,0.360,0.320,0
0.312,0.375,0.312,0
0.325,0.375,0.300,0
0.340,0.358,0.302,0
0.333,0.365,0.302,0
0.338,0.365,0.297,0
0.333,0.367,0.300,0
0.337,0.366,0.297,0
0.336,0.373,0.291,0
0.339,0.372,0.289,0
0.341,0.371,0.288,0
0.343,0.371,0.286,0
0.344,0.371,0.285,0
0.348,0.373,0.280,0
0.351,0.368,0.281,0
0.348,0.370,0.282,0
0.346,0.373,0.281,0
0.349,0.375,0.276,0
0.350,0.376,0.274,0
0.348,0.378,0.274,0
0.351,0.380,0.268,0
0.351,0.379,0.270,0
0.353,0.381,0.265,0
0.355,0.382,0.264,0
0.359,0.386,0.256,0
0.363,0.385,0.252,0
0.363,0.383,0.254,0
0.369,0.384,0.247,0
0.373,0.384,0.244,0
0.374,0.385,0.241,0
0.378,0.381,0.241,0
0.382,0.382,0.237,0
0.383,0.379,0.238,0
0.385,0.381,0.235,0
0.381,0.381,0.238,0
0.381,0.381,0.237,0
0.381,0.381,0.237,0
0.383,0.379,0.238,0
0.386,0.379,0.235,0
0.386,0.377,0.237,0
0.385,0.376,0.239,0
0.381,0.378,0.241,0
0.376,0.379,0.245,0
0.372,0.378,0.249,0
0.370,0.377,0.253,0
0.371,0.375,0.254,0
0.372,0.376,0.252,0
0.373,0.373,0.254,0
0.367,0.372,0.261,0
0.363,0.374,0.264,0
0.360,0.378,0.262,0
0.364,0.377,0.258,0
0.359,0.379,0.261,0
0.361,0.381,0.259,0
0.354,0.380,0.266,0
0.353,0.379,0.268,0
0.351,0.377,0.273,0
0.351,0.377,0.273,0
0.348,0.380,0.272,0
0.351,0.381,0.268,0
0.353,0.380,0.266,0
0.359,0.379,0.263,0
0.363,0.377,0.260,0
0.370,0.374,0.256,0
0.377,0.369,0.254,0
0.381,0.367,0.253,0
0.381,0.365,0.253,0
0.380,0.368,0.252,0
0.378,0.369,0.253,0
0.376,0.369,0.255,0
0.373,0.370,0.257,0
0.372,0.372,0.257,0
0.369,0.372,0.259,0
0.366,0.374,0.261,0
0.364,0.373,0.263,0
0.364,0.369,0.267,0
0.361,0.367,0.272,0
0.359,0.366,0.275,0
0.359,0.368,0.274,0
0.355,0.372,0.273,0
0.350,0.371,0.280,0
0.359,0.365,0.275,0
0.368,0.356,0.276,0
0.375,0.350,0.275,0
0.371,0.350,0.279,0
0.364,0.345,0.291,0
0.343,0.343,0.314,0
0.308,0.333,0.359,0
0.273,0.318,0.409,0
0.278,0.333,0.389,0
0.263,0.368,0.368,0
0.263,0.368,0.368,0
0.263,0.368,0.368,0
0.263,0.368,0.368,0
0.263,0.368,0.368,0
0.263,0.368,0.368,0
0.250,0.375,0.375,0
0.250,0.375,0.375,0
0.286,0.357,0.357,0
0.333,0.333,0.333,0
0.333,0.333,0.333,0
0.370,0.333,0.296,0
0.406,0.344,0.250,0
0.406,0.344,0.250,0
0.392,0.353,0.255,0
0.400,0.350,0.250,0
0.376,0.362,0.262,0
0.375,0.366,0.259,0
0.379,0.368,0.254,0
0.383,0.367,0.249,0
0.386,0.364,0.250,0
0.385,0.364,0.251,0
0.385,0.364,0.251,0
0.384,0.366,0.250,0
0.385,0.364,0.251,0
0.384,0.363,0.252,0
0.384,0.365,0.251,0
0.382,0.366,0.252,0
0.382,0.365,0.253,0
0.381,0.367,0.252,0
0.380,0.369,0.252,0
0.376,0.372,0.252,0
0.372,0.376,0.252,0
0.363,0.377,0.260,0
0.356,0.381,0.262,0
0.353,0.380,0.267,0
0.350,0.379,0.271,0
0.352,0.384,0.264,0
0.357,0.379,0.264,0
0.368,0.376,0.256,0
0.375,0.375,0.250,0
0.383,0.372,0.245,0
0.376,0.376,0.247,0
0.386,0.373,0.241,0
0.390,0.366,0.244,0
0.386,0.361,0.253,0
0.387,0.360,0.253,0
0.378,0.365,0.257,0
0.375,0.361,0.264,0
0.375,0.359,0.266,0
0.373,0.360,0.267,0
0.364,0.364,0.273,0
0.367,0.367,0.267,0
0.369,0.369,0.262,0
0.375,0.363,0.262,0
0.368,0.368,0.264,0
0.375,0.363,0.262,0
0.367,0.367,0.266,0
0.354,0.366,0.280,0
0.341,0.366,0.293,0
0.333,0.358,0.309,0
0.326,0.360,0.314,0
0.323,0.355,0.323,0
0.315,0.360,0.326,0
0.318,0.352,0.330,0
0.317,0.354,0.329,0
0.329,0.354,0.317,0
0.355,0.355,0.289,0
0.363,0.363,0.275,0
0.373,0.361,0.265,0
0.372,0.362,0.266,0
0.381,0.362,0.257,0
0.375,0.366,0.259,0
0.379,0.363,0.258,0
0.381,0.365,0.254,0
0.375,0.367,0.258,0
0.374,0.366,0.260,0
0.376,0.368,0.256,0
0.376,0.368,0.256,0
0.380,0.364,0.256,0
0.382,0.366,0.252,0
0.382,0.363,0.255,0
0.369,0.369,0.262,0
0.310,0.357,0.333,0
0.250,0.354,0.396,0
0.263,0.333,0.404,0
0.262,0.344,0.393,0
0.266,0.375,0.359,0
0.293,0.387,0.320,0
0.326,0.384,0.291,0
0.350,0.380,0.270,0
0.363,0.381,0.257,0
0.369,0.377,0.254,0
0.374,0.374,0.252,0
0.373,0.381,0.246,0
0.375,0.375,0.250,0
0.381,0.371,0.248,0
0.369,0.369,0.262,0
0.371,0.371,0.258,0
0.364,0.375,0.261,0
0.375,0.375,0.250,0
0.387,0.371,0.242,0
0.389,0.370,0.241,0
0.396,0.375,0.229,0
0.409,0.364,0.227,0
0.400,0.375,0.225,0
0.390,0.366,0.244,0
0.390,0.366,0.244,0
0.405,0.357,0.238,0
0.370,0.370,0.261,0
0.367,0.367,0.265,0
0.357,0.375,0.268,0
0.357,0.357,0.286,0
0.327,0.364,0.309,0
0.306,0.367,0.327,0
0.293,0.366,0.341,0
0.281,0.375,0.344,0
0.250,0.417,0.333,0
0.250,0.417,0.333,0
0.250,0.417,0.333,0
0.222,0.407,0.370,0
0.207,0.379,0.414,0
0.222,0.370,0.407,0
0.208,0.417,0.375,0
0.222,0.407,0.370,0
0.222,0.407,0.370,0
0.222,0.407,0.370,0
0.222,0.407,0.370,0
0.222,0.407,0.370,0
0.240,0.400,0.360,0
0.208,0.417,0.375,0
0.222,0.407,0.370,0
0.240,0.400,0.360,0
0.250,0.393,0.357,0
0.267,0.400,0.333,0
0.310,0.379,0.310,0
0.324,0.382,0.294,0
0.359,0.359,0.282,0
0.360,0.360,0.280,0
0.373,0.356,0.271,0
0.364,0.364,0.273,0
0.377,0.362,0.261,0
0.375,0.361,0.264,0
0.392,0.351,0.257,0
0.397,0.359,0.244,0
0.402,0.354,0.244,0
0.402,0.356,0.241,0
0.409,0.355,0.237,0
0.406,0.356,0.238,0
0.406,0.358,0.236,0
0.405,0.360,0.234,0
0.400,0.365,0.235,0
0.397,0.364,0.240,0
0.392,0.368,0.240,0
0.389,0.366,0.244,0
0.384,0.370,0.246,0
0.381,0.374,0.245,0
0.384,0.370,0.246,0
0.375,0.375,0.250,0
0.374,0.374,0.252,0
0.366,0.374,0.260,0
0.353,0.379,0.267,0
0.349,0.376,0.275,0
0.337,0.385,0.279,0
0.333,0.384,0.283,0
0.330,0.383,0.287,0
0.322,0.389,0.289,0
0.317,0.390,0.293,0
0.307,0.387,0.307,0
0.304,0.377,0.319,0
0.303,0.379,0.318,0
0.303,0.379,0.318,0
0.313,0.373,0.313,0
0.309,0.368,0.324,0
0.314,0.371,0.314,0
0.319,0.361,0.319,0
0.319,0.361,0.319,0
0.310,0.366,0.324,0
0.314,0.357,0.329,0
0.314,0.357,0.329,0
0.314,0.357,0.329,0
0.309,0.368,0.324,0
0.323,0.369,0.308,0
0.354,0.369,0.277,0
0.371,0.371,0.257,0
0.387,0.363,0.250,0
0.391,0.359,0.250,0
0.394,0.364,0.242,0
0.393,0.364,0.243,0
0.387,0.369,0.243,0
0.387,0.369,0.243,0
0.382,0.373,0.245,0
0.376,0.376,0.248,0
0.381,0.371,0.248,0
0.384,0.364,0.253,0
0.394,0.351,0.255,0
0.400,0.344,0.256,0
0.407,0.337,0.256,0
0.415,0.329,0.256,0
0.420,0.321,0.259,0
0.423,0.321,0.256,0
0.421,0.316,0.263,0
0.421,0.316,0.263,0
0.408,0.329,0.263,0
0.405,0.329,0.266,0
0.392,0.342,0.266,0
0.392,0.342,0.266,0
0.385,0.346,0.269,0
0.377,0.351,0.273,0
0.373,0.360,0.267,0
0.365,0.365,0.270,0
0.366,0.366,0.268,0
0.366,0.366,0.268,0
0.362,0.362,0.275,0
0.362,0.362,0.275,0
0.362,0.362,0.275,0
0.368,0.368,0.265,0
0.373,0.358,0.269,0
0.373,0.358,0.269,0
0.373,0.358,0.269,0
0.382,0.353,0.265,0
0.386,0.357,0.257,0
0.384,0.356,0.260,0
0.387,0.360,0.253,0
0.385,0.359,0.256,0
0.383,0.358,0.259,0
0.388,0.353,0.259,0
0.382,0.360,0.258,0
0.374,0.363,0.264,0
0.376,0.366,0.258,0
0.376,0.366,0.258,0
0.370,0.370,0.261,0
0.376,0.366,0.258,0
0.376,0.366,0.258,0
0.372,0.372,0.255,0
0.368,0.368,0.263,0
0.375,0.365,0.260,0
0.374,0.364,0.263,0
0.376,0.366,0.257,0
0.379,0.359,0.262,0
0.377,0.358,0.264,0
0.373,0.364,0.264,0
0.371,0.362,0.267,0
0.371,0.363,0.266,0
0.371,0.364,0.265,0
0.371,0.364,0.266,0
0.367,0.367,0.267,0
0.368,0.368,0.265,0
0.363,0.369,0.269,0
0.361,0.373,0.266,0
0.358,0.369,0.273,0
0.355,0.371,0.274,0
0.351,0.371,0.278,0
0.348,0.374,0.278,0
0.347,0.371,0.282,0
0.343,0.373,0.284,0
0.340,0.374,0.286,0
0.340,0.374,0.286,0
0.342,0.372,0.286,0
0.338,0.374,0.287,0
0.339,0.375,0.286,0
0.337,0.374,0.289,0
0.339,0.372,0.289,0
0.335,0.376,0.289,0
0.343,0.373,0.283,0
0.340,0.377,0.284,0
0.338,0.377,0.286,0
0.338,0.378,0.284,0
0.338,0.373,0.289,0
0.338,0.375,0.287,0
0.338,0.369,0.292,0
0.339,0.371,0.290,0
0.345,0.371,0.284,0
0.345,0.373,0.282,0
0.337,0.375,0.288,0
0.340,0.371,0.289,0
0.340,0.372,0.287,0
0.337,0.372,0.291,0
0.337,0.373,0.289,0
0.333,0.370,0.296,0
0.333,0.372,0.295,0
0.338,0.377,0.286,0
0.333,0.370,0.296,0
0.333,0.378,0.289,0
0.333,0.378,0.289,0
0.333,0.379,0.287,0
0.333,0.379,0.287,0
0.337,0.373,0.289,0
0.337,0.373,0.289,0
0.342,0.380,0.278,0
0.338,0.377,0.286,0
0.347,0.375,0.278,0
0.343,0.371,0.286,0
0.343,0.373,0.284,0
0.344,0.375,0.281,0
0.355,0.371,0.274,0
0.355,0.371,0.274,0
0.356,0.373,0.271,0
0.356,0.373,0.271,0
0.356,0.373,0.271,0
0.361,0.377,0.262,0
0.361,0.377,0.262,0
0.365,0.365,0.270,0
0.355,0.371,0.274,0
0.355,0.371,0.274,0
0.355,0.371,0.274,0
0.354,0.369,0.277,0
0.362,0.362,0.275,0
0.361,0.375,0.264,0
0.360,0.373,0.267,0
0.351,0.377,0.273,0
0.342,0.380,0.278,0
0.346,0.370,0.284,0
0.337,0.373,0.289,0
0.337,0.373,0.289,0
0.337,0.373,0.289,0
0.337,0.373,0.289,0
0.337,0.372,0.291,0
0.333,0.381,0.286,0
0.337,0.373,0.289,0
0.338,0.375,0.287,0
0.338,0.375,0.287,0
0.338,0.375,0.287,0
0.338,0.377,0.286,0
0.338,0.378,0.284,0
0.333,0.379,0.288,0
0.333,0.379,0.288,0
0.333,0.379,0.288,0
0.333,0.379,0.288,0
0.333,0.379,0.288,0
0.338,0.382,0.279,0
0.338,0.382,0.279,0
0.343,0.373,0.284,0
0.343,0.373,0.284,0
0.333,0.379,0.288,0
0.333,0.379,0.288,0
0.343,0.373,0.284,0
0.338,0.382,0.279,0
0.343,0.371,0.286,0
0.343,0.373,0.284,0
0.344,0.375,0.281,0
0.356,0.373,0.271,0
0.370,0.370,0.259,0
0.380,0.360,0.260,0
0.400,0.356,0.244,0
0.410,0.359,0.231,0
0.412,0.353,0.235,0
0.419,0.355,0.226,0
0.448,0.345,0.207,0
0.429,0.357,0.214,0
0.429,0.357,0.214,0
0.444,0.333,0.222,0
0.423,0.346,0.231,0
0.423,0.346,0.231,0
0.423,0.346,0.231,0
0.423,0.346,0.231,0
0.423,0.346,0.231,0
0.367,0.367,0.267,0
0.351,0.351,0.297,0
0.340,0.340,0.319,0
0.345,0.327,0.327,0
0.351,0.316,0.333,0
0.357,0.304,0.339,0
0.358,0.302,0.340,0
0.354,0.312,0.333,0
0.372,0.302,0.326,0
0.375,0.300,0.325,0
0.400,0.286,0.314,0
0.414,0.276,0.310,0
0.423,0.269,0.308,0
0.417,0.292,0.292,0
0.400,0.320,0.280,0
0.375,0.333,0.292,0
0.375,0.333,0.292,0
0.333,0.375,0.292,0
0.360,0.360,0.280,0
0.367,0.367,0.267,0
0.367,0.367,0.267,0
0.367,0.367,0.267,0
0.393,0.357,0.250,0
0.385,0.346,0.269,0
0.391,0.348,0.261,0
0.400,0.350,0.250,0
0.375,0.375,0.250,0
0.417,0.333,0.250,0
0.385,0.385,0.231,0
0.357,0.357,0.286,0
0.389,0.333,0.278,0
0.364,0.364,0.273,0
0.385,0.346,0.269,0
0.393,0.357,0.250,0
0.393,0.357,0.250,0
0.391,0.348,0.261,0
0.437,0.312,0.250,0
0.533,0.267,0.200,0
0.471,0.294,0.235,0
0.444,0.333,0.222,0
0.450,0.300,0.250,0
0.435,0.304,0.261,0
0.400,0.320,0.280,0
0.407,0.333,0.259,0
0.393,0.357,0.250,0
0.379,0.345,0.276,0
0.379,0.345,0.276,0
0.387,0.355,0.258,0
0.364,0.364,0.273,0
0.371,0.371,0.257,0
0.366,0.366,0.268,0
0.354,0.375,0.271,0
0.333,0.370,0.296,0
0.328,0.377,0.295,0
0.328,0.373,0.299,0
0.324,0.378,0.297,0
0.321,0.383,0.296,0
0.333,0.379,0.287,0
0.344,0.376,0.280,0
0.360,0.370,0.270,0
0.366,0.366,0.267,0
0.379,0.358,0.263,0
0.384,0.360,0.256,0
0.383,0.358,0.259,0
0.384,0.356,0.260,0
0.379,0.364,0.258,0
0.377,0.361,0.262,0
0.382,0.364,0.255,0
0.396,0.340,0.264,0
0.412,0.333,0.255,0
0.408,0.327,0.265,0
0.426,0.319,0.255,0
0.422,0.311,0.267,0
0.426,0.319,0.255,0
0.413,0.326,0.261,0
0.426,0.319,0.255,0
0.404,0.327,0.269,0
0.390,0.339,0.271,0
0.373,0.358,0.269,0
0.364,0.364,0.273,0
0.364,0.364,0.273,0
0.365,0.365,0.271,0
0.359,0.369,0.272,0
0.364,0.364,0.271,0
0.367,0.367,0.266,0
0.366,0.366,0.268,0
0.366,0.366,0.268,0
0.363,0.372,0.265,0
0.363,0.372,0.265,0
0.360,0.368,0.272,0
0.360,0.369,0.270,0
0.360,0.368,0.272,0
0.364,0.364,0.271,0
0.362,0.362,0.276,0
0.356,0.366,0.277,0
0.359,0.359,0.282,0
0.368,0.359,0.274,0
0.373,0.358,0.269,0
0.377,0.358,0.264,0
0.387,0.354,0.260,0
0.392,0.351,0.258,0
0.391,0.351,0.257,0
0.392,0.354,0.255,0
0.388,0.356,0.256,0
0.388,0.357,0.256,0
0.387,0.361,0.252,0
0.387,0.363,0.250,0
0.387,0.361,0.252,0
0.387,0.362,0.251,0
0.385,0.363,0.252,0
0.382,0.364,0.255,0
0.379,0.365,0.256,0
0.378,0.367,0.255,0
0.377,0.366,0.257,0
0.377,0.371,0.252,0
0.387,0.365,0.248,0
0.386,0.368,0.246,0
0.391,0.365,0.243,0
0.393,0.366,0.241,0
0.395,0.363,0.242,0
0.393,0.363,0.244,0
0.388,0.367,0.245,0
0.390,0.365,0.245,0
0.389,0.365,0.246,0
0.390,0.368,0.242,0
0.388,0.367,0.245,0
0.386,0.367,0.246,0
0.383,0.369,0.248,0
0.379,0.374,0.248,0
0.380,0.375,0.245,0
0.376,0.376,0.248,0
0.376,0.376,0.249,0
0.374,0.380,0.246,0
0.373,0.380,0.247,0
0.371,0.384,0.245,0
0.369,0.389,0.242,0
0.369,0.390,0.241,0
0.370,0.394,0.236,0
0.368,0.393,0.239,0
0.369,0.396,0.234,0
0.368,0.396,0.236,0
0.370,0.390,0.240,0
0.367,0.398,0.235,0
0.367,0.400,0.233,0
0.368,0.391,0.241,0
0.369,0.393,0.238,0
0.371,0.393,0.236,0
0.374,0.385,0.242,0
0.367,0.389,0.244,0
0.374,0.385,0.242,0
0.376,0.376,0.247,0
0.372,0.383,0.245,0
0.366,0.386,0.248,0
0.367,0.385,0.248,0
0.367,0.392,0.242,0
0.363,0.393,0.244,0
0.364,0.389,0.247,0
0.369,0.385,0.246,0
0.374,0.379,0.247,0
0.379,0.379,0.241,0
0.383,0.378,0.240,0
0.387,0.376,0.237,0
0.389,0.374,0.237,0
0.393,0.372,0.235,0
0.399,0.370,0.231,0
0.401,0.370,0.228,0
0.407,0.367,0.227,0
0.409,0.365,0.226,0
0.413,0.365,0.222,0
0.412,0.360,0.228,0
0.387,0.369,0.243,0
0.358,0.382,0.260,0
0.348,0.385,0.267,0
0.338,0.393,0.269,0
0.343,0.393,0.264,0
0.340,0.396,0.264,0
0.345,0.396,0.259,0
0.350,0.393,0.257,0
0.353,0.390,0.257,0
0.354,0.392,0.254,0
0.364,0.388,0.248,0
0.364,0.390,0.246,0
0.365,0.389,0.246,0
0.370,0.386,0.244,0
0.371,0.387,0.242,0
0.367,0.391,0.242,0
0.367,0.391,0.242,0
0.364,0.397,0.240,0
0.360,0.396,0.243,0
0.348,0.404,0.247,0
0.343,0.414,0.243,0
0.346,0.404,0.250,0
0.366,0.390,0.244,0
0.419,0.355,0.226,0
0.444,0.333,0.222,0
0.444,0.333,0.222,0
0.414,0.345,0.241,0
0.417,0.333,0.250,0
0.429,0.333,0.238,0
0.444,0.333,0.222,0
0.421,0.368,0.211,0
0.421,0.368,0.211,0
0.409,0.364,0.227,0
0.417,0.375,0.208,0
0.423,0.385,0.192,0
0.433,0.367,0.200,0
0.441,0.353,0.206,0
0.425,0.350,0.225,0
0.392,0.373,0.235,0
0.364,0.390,0.247,0
0.360,0.393,0.247,0
0.357,0.393,0.250,0
0.362,0.394,0.244,0
0.366,0.389,0.244,0
0.364,0.395,0.240,0
0.365,0.397,0.238,0
0.350,0.402,0.248,0
0.344,0.400,0.256,0
0.358,0.388,0.254,0
0.386,0.368,0.246,0
0.400,0.364,0.236,0
0.412,0.353,0.235,0
0.420,0.360,0.220,0
0.434,0.340,0.226,0
0.441,0.339,0.220,0
0.441,0.338,0.221,0
0.430,0.342,0.228,0
0.422,0.344,0.233,0
0.418,0.347,0.235,0
0.410,0.352,0.238,0
0.398,0.363,0.239,0
0.393,0.368,0.239,0
0.390,0.373,0.237,0
0.383,0.375,0.242,0
0.379,0.379,0.242,0
0.377,0.377,0.246,0
0.377,0.377,0.246,0
0.374,0.382,0.244,0
0.373,0.381,0.246,0
0.370,0.385,0.244,0
0.371,0.386,0.242,0
0.373,0.389,0.238,0
0.379,0.379,0.241,0
0.386,0.368,0.246,0
0.396,0.358,0.245,0
0.402,0.351,0.247,0
0.407,0.349,0.244,0
0.412,0.353,0.235,0
0.414,0.345,0.241,0
0.400,0.356,0.244,0
0.395,0.372,0.233,0
0.404,0.362,0.234,0
0.404,0.346,0.250,0
0.413,0.347,0.240,0
0.404,0.351,0.246,0
0.400,0.357,0.243,0
0.390,0.365,0.245,0
0.387,0.369,0.244,0
0.384,0.367,0.249,0
0.383,0.372,0.246,0
0.380,0.374,0.246,0
0.375,0.380,0.245,0
0.372,0.384,0.244,0
0.374,0.387,0.239,0
0.376,0.383,0.241,0
0.381,0.381,0.239,0
0.378,0.378,0.245,0
0.384,0.372,0.244,0
0.386,0.364,0.250,0
0.390,0.352,0.257,0
0.394,0.352,0.254,0
0.390,0.356,0.254,0
0.383,0.363,0.254,0
0.373,0.373,0.254,0
0.367,0.381,0.252,0
0.364,0.381,0.254,0
0.366,0.383,0.251,0
0.364,0.385,0.251,0
0.365,0.381,0.254,0
0.362,0.382,0.256,0
0.360,0.381,0.259,0
0.357,0.382,0.261,0
0.356,0.382,0.262,0
0.354,0.378,0.268,0
0.356,0.379,0.266,0
0.353,0.386,0.261,0
0.352,0.383,0.266,0
0.356,0.375,0.269,0
0.350,0.380,0.270,0
0.348,0.380,0.272,0
0.354,0.378,0.268,0
0.350,0.375,0.275,0
0.356,0.370,0.274,0
0.351,0.378,0.270,0
0.347,0.375,0.278,0
0.353,0.382,0.265,0
0.353,0.382,0.265,0
0.359,0.375,0.266,0
0.359,0.375,0.266,0
0.358,0.373,0.269,0
0.369,0.369,0.262,0
0.371,0.371,0.258,0
0.379,0.364,0.258,0
0.369,0.369,0.262,0
0.379,0.364,0.258,0
0.388,0.358,0.254,0
0.380,0.366,0.254,0
0.387,0.360,0.253,0
0.387,0.360,0.253,0
0.387,0.360,0.253,0
0.384,0.360,0.256,0
0.392,0.361,0.247,0
0.393,0.359,0.248,0
0.391,0.362,0.246,0
0.392,0.359,0.248,0
0.392,0.363,0.246,0
0.396,0.358,0.246,0
0.399,0.355,0.246,0
0.399,0.353,0.248,0
0.396,0.356,0.248,0
0.396,0.356,0.249,0
0.393,0.356,0.251,0
0.390,0.356,0.254,0
0.385,0.354,0.260,0
0.383,0.355,0.262,0
0.378,0.356,0.266,0
0.372,0.355,0.273,0
0.368,0.356,0.276,0
0.360,0.360,0.280,0
0.355,0.362,0.284,0
0.350,0.359,0.291,0
0.343,0.363,0.294,0
0.341,0.363,0.297,0
0.333,0.370,0.296,0
0.333,0.373,0.293,0
0.328,0.373,0.299,0
0.323,0.385,0.292,0
0.323,0.387,0.290,0
0.322,0.390,0.288,0
0.309,0.382,0.309,0
0.314,0.392,0.294,0
0.320,0.380,0.300,0
0.308,0.404,0.288,0
0.308,0.404,0.288,0
0.308,0.404,0.288,0
0.302,0.415,0.283,0
0.308,0.404,0.288,0
0.320,0.400,0.280,0
0.333,0.396,0.271,0
0.341,0.386,0.273,0
0.356,0.378,0.267,0
0.341,0.386,0.273,0
0.357,0.381,0.262,0
0.357,0.381,0.262,0
0.366,0.366,0.268,0
0.375,0.375,0.250,0
0.366,0.366,0.268,0
0.366,0.366,0.268,0
0.356,0.378,0.267,0
0.340,0.380,0.280,0
0.316,0.386,0.298,0
0.302,0.381,0.317,0
0.290,0.377,0.333,0
0.278,0.375,0.347,0
0.282,0.366,0.352,0
0.292,0.354,0.354,0
0.321,0.357,0.321,0
0.381,0.357,0.262,0
0.405,0.351,0.243,0
