Red,Green,Blue,RedRatio,GreenRatio,BlueRatio,Class
89,89,56,0.380,0.380,0.239,0
104,105,66,0.378,0.382,0.240,0
118,120,75,0.377,0.383,0.240,0
131,133,84,0.376,0.382,0.241,0
138,140,89,0.376,0.381,0.243,0
144,146,93,0.376,0.381,0.243,0
147,151,96,0.373,0.383,0.244,0
150,153,97,0.375,0.382,0.243,0
151,153,97,0.377,0.382,0.242,0
152,152,96,0.380,0.380,0.240,0
148,147,93,0.381,0.379,0.240,0
140,138,86,0.385,0.379,0.236,0
129,128,79,0.384,0.381,0.235,0
119,121,75,0.378,0.384,0.238,0
112,116,72,0.373,0.387,0.240,0
111,117,73,0.369,0.389,0.243,0
120,126,80,0.368,0.387,0.245,0
133,138,88,0.370,0.384,0.245,0
146,150,97,0.372,0.382,0.247,0
155,157,102,0.374,0.379,0.246,0
160,161,105,0.376,0.378,0.246,0
162,162,106,0.377,0.377,0.247,0
162,159,106,0.379,0.372,0.248,0
161,156,104,0.382,0.371,0.247,0
160,154,104,0.383,0.368,0.249,0
153,148,100,0.382,0.369,0.249,0
150,145,98,0.382,0.369,0.249,0
147,144,96,0.380,0.372,0.248,0
140,138,91,0.379,0.374,0.247,0
136,135,88,0.379,0.376,0.245,0
137,136,88,0.380,0.377,0.244,0
131,131,83,0.380,0.380,0.241,0
134,132,82,0.385,0.379,0.236,0
137,134,83,0.387,0.379,0.234,0
135,132,81,0.388,0.379,0.233,0
131,128,79,0.388,0.379,0.234,0
124,122,75,0.386,0.380,0.234,0
119,117,72,0.386,0.380,0.234,0
113,113,70,0.382,0.382,0.236,0
107,109,67,0.378,0.385,0.237,0
105,109,67,0.374,0.388,0.238,0
100,105,64,0.372,0.390,0.238,0
98,103,62,0.373,0.392,0.236,0
97,102,61,0.373,0.392,0.235,0
95,98,59,0.377,0.389,0.234,0
94,97,58,0.378,0.390,0.233,0
95,98,59,0.377,0.389,0.234,0
96,99,60,0.376,0.388,0.235,0
102,104,63,0.379,0.387,0.234,0
109,111,68,0.378,0.385,0.236,0
119,120,74,0.380,0.383,0.236,0
129,128,79,0.384,0.381,0.235,0
138,136,84,0.385,0.380,0.235,0
142,141,88,0.383,0.380,0.237,0
142,142,88,0.382,0.382,0.237,0
144,143,89,0.383,0.380,0.237,0
144,143,89,0.383,0.380,0.237,0
141,140,88,0.382,0.379,0.238,0
131,133,84,0.376,0.382,0.241,0
115,119,75,0.372,0.385,0.243,0
106,111,69,0.371,0.388,0.241,0
97,103,63,0.369,0.392,0.240,0
102,106,65,0.374,0.388,0.238,0
113,116,71,0.377,0.387,0.237,0
122,122,75,0.382,0.382,0.235,0
134,133,83,0.383,0.380,0.237,0
140,138,86,0.385,0.379,0.236,0
148,145,91,0.385,0.378,0.237,0
153,149,94,0.386,0.376,0.237,0
154,151,95,0.385,0.377,0.237,0
153,152,96,0.382,0.379,0.239,0
149,150,94,0.379,0.382,0.239,0
144,146,92,0.377,0.382,0.241,0
139,142,89,0.376,0.384,0.241,0
130,133,84,0.375,0.383,0.242,0
121,123,77,0.377,0.383,0.240,0
114,118,73,0.374,0.387,0.239,0
106,110,68,0.373,0.387,0.239,0
102,107,67,0.370,0.388,0.243,0
94,99,62,0.369,0.388,0.243,0
86,91,58,0.366,0.387,0.247,0
86,89,56,0.372,0.385,0.242,0
86,88,55,0.376,0.384,0.240,0
90,91,56,0.380,0.384,0.236,0
91,92,57,0.379,0.383,0.237,0
93,95,57,0.380,0.388,0.233,0
92,94,57,0.379,0.387,0.235,0
84,84,52,0.382,0.382,0.236,0
76,76,46,0.384,0.384,0.232,0
67,66,40,0.387,0.382,0.231,0
58,58,34,0.387,0.387,0.227,0
55,54,32,0.390,0.383,0.227,0
54,52,32,0.391,0.377,0.232,0
52,51,31,0.388,0.381,0.231,0
53,51,31,0.393,0.378,0.230,0
52,51,31,0.388,0.381,0.231,0
49,48,29,0.389,0.381,0.230,0
48,46,28,0.393,0.377,0.230,0
45,44,26,0.391,0.383,0.226,0
45,44,27,0.388,0.379,0.233,0
41,40,24,0.390,0.381,0.229,0
41,39,24,0.394,0.375,0.231,0
39,37,22,0.398,0.378,0.224,0
39,37,22,0.398,0.378,0.224,0
39,38,22,0.394,0.384,0.222,0
39,37,22,0.398,0.378,0.224,0
41,38,22,0.406,0.376,0.218,0
37,35,20,0.402,0.380,0.217,0
34,31,18,0.410,0.373,0.217,0
33,30,17,0.412,0.375,0.213,0
35,32,18,0.412,0.376,0.212,0
34,32,18,0.405,0.381,0.214,0
39,37,21,0.402,0.381,0.216,0
44,42,24,0.400,0.382,0.218,0
53,52,30,0.393,0.385,0.222,0
62,62,37,0.385,0.385,0.230,0
69,67,42,0.388,0.376,0.236,0
78,74,48,0.390,0.370,0.240,0
86,80,52,0.394,0.367,0.239,0
94,86,57,0.397,0.363,0.241,0
100,93,60,0.395,0.368,0.237,0
103,98,62,0.392,0.373,0.236,0
99,99,63,0.379,0.379,0.241,0
95,98,62,0.373,0.384,0.243,0
90,94,59,0.370,0.387,0.243,0
87,91,58,0.369,0.386,0.246,0
81,85,54,0.368,0.386,0.245,0
77,82,52,0.365,0.389,0.246,0
68,72,46,0.366,0.387,0.247,0
59,62,38,0.371,0.390,0.239,0
50,53,32,0.370,0.393,0.237,0
46,47,29,0.377,0.385,0.238,0
40,41,25,0.377,0.387,0.236,0
41,43,26,0.373,0.391,0.236,0
40,43,27,0.364,0.391,0.245,0
34,37,25,0.354,0.385,0.260,0
25,30,21,0.329,0.395,0.276,0
15,20,15,0.300,0.400,0.300,0
10,14,12,0.278,0.389,0.333,0
7,10,10,0.259,0.370,0.370,0
8,11,10,0.276,0.379,0.345,0
12,17,13,0.286,0.405,0.310,0
22,27,20,0.319,0.391,0.290,0
34,39,27,0.340,0.390,0.270,0
44,50,33,0.346,0.394,0.260,0
43,49,31,0.350,0.398,0.252,0
46,52,34,0.348,0.394,0.258,0
49,56,36,0.348,0.397,0.255,0
50,58,38,0.342,0.397,0.260,0
51,60,40,0.338,0.397,0.265,0
49,59,40,0.331,0.399,0.270,0
40,51,35,0.317,0.405,0.278,0
34,39,28,0.337,0.386,0.277,0
36,41,29,0.340,0.387,0.274,0
39,43,31,0.345,0.381,0.274,0
44,48,34,0.349,0.381,0.270,0
46,49,35,0.354,0.377,0.269,0
51,54,38,0.357,0.378,0.266,0
52,53,37,0.366,0.373,0.261,0
51,52,36,0.367,0.374,0.259,0
56,57,40,0.366,0.373,0.261,0
55,56,39,0.367,0.373,0.260,0
56,57,39,0.368,0.375,0.257,0
52,54,36,0.366,0.380,0.254,0
50,52,35,0.365,0.380,0.255,0
48,50,33,0.366,0.382,0.252,0
46,47,31,0.371,0.379,0.250,0
44,44,30,0.373,0.373,0.254,0
40,39,26,0.381,0.371,0.248,0
37,36,23,0.385,0.375,0.240,0
33,31,20,0.393,0.369,0.238,0
35,34,22,0.385,0.374,0.242,0
36,35,23,0.383,0.372,0.245,0
41,39,26,0.387,0.368,0.245,0
44,42,28,0.386,0.368,0.246,0
46,44,30,0.383,0.367,0.250,0
49,48,32,0.380,0.372,0.248,0
50,49,33,0.379,0.371,0.250,0
51,49,33,0.383,0.368,0.248,0
50,48,33,0.382,0.366,0.252,0
53,50,34,0.387,0.365,0.248,0
53,49,33,0.393,0.363,0.244,0
56,53,35,0.389,0.368,0.243,0
58,55,37,0.387,0.367,0.247,0
61,57,37,0.394,0.368,0.239,0
67,63,41,0.392,0.368,0.240,0
71,66,43,0.394,0.367,0.239,0
76,70,46,0.396,0.365,0.240,0
77,71,46,0.397,0.366,0.237,0
77,72,46,0.395,0.369,0.236,0
70,65,42,0.395,0.367,0.237,0
58,55,35,0.392,0.372,0.236,0
57,54,34,0.393,0.372,0.234,0
50,47,30,0.394,0.370,0.236,0
45,43,27,0.391,0.374,0.235,0
50,47,30,0.394,0.370,0.236,0
51,48,30,0.395,0.372,0.233,0
57,53,34,0.396,0.368,0.236,0
58,56,35,0.389,0.376,0.235,0
56,53,34,0.392,0.371,0.238,0
53,50,31,0.396,0.373,0.231,0
46,43,27,0.397,0.371,0.233,0
44,42,26,0.393,0.375,0.232,0
43,41,25,0.394,0.376,0.229,0
42,40,25,0.393,0.374,0.234,0
42,40,24,0.396,0.377,0.226,0
42,40,25,0.393,0.374,0.234,0
46,44,27,0.393,0.376,0.231,0
51,51,31,0.383,0.383,0.233,0
53,54,33,0.379,0.386,0.236,0
53,55,34,0.373,0.387,0.239,0
48,51,31,0.369,0.392,0.238,0
49,53,33,0.363,0.393,0.244,0
50,54,34,0.362,0.391,0.246,0
51,56,35,0.359,0.394,0.246,0
39,43,27,0.358,0.394,0.248,0
31,34,22,0.356,0.391,0.253,0
21,23,14,0.362,0.397,0.241,0
18,18,12,0.375,0.375,0.250,0
18,16,12,0.391,0.348,0.261,0
23,19,14,0.411,0.339,0.250,0
31,25,18,0.419,0.338,0.243,0
59,49,34,0.415,0.345,0.239,0
81,70,48,0.407,0.352,0.241,0
95,88,58,0.394,0.365,0.241,0
101,97,62,0.388,0.373,0.238,0
103,103,65,0.380,0.380,0.240,0
102,105,66,0.374,0.385,0.242,0
102,105,66,0.374,0.385,0.242,0
99,103,65,0.371,0.386,0.243,0
99,103,66,0.369,0.384,0.246,0
100,103,66,0.372,0.383,0.245,0
98,101,65,0.371,0.383,0.246,0
94,96,62,0.373,0.381,0.246,0
81,83,54,0.372,0.381,0.248,0
73,75,48,0.372,0.383,0.245,0
68,70,44,0.374,0.385,0.242,0
76,78,50,0.373,0.382,0.245,0
80,82,52,0.374,0.383,0.243,0
88,90,57,0.374,0.383,0.243,0
92,94,61,0.372,0.381,0.247,0
90,92,60,0.372,0.380,0.248,0
86,89,58,0.369,0.382,0.249,0
80,83,54,0.369,0.382,0.249,0
73,76,49,0.369,0.384,0.247,0
73,76,49,0.369,0.384,0.247,0
73,75,49,0.371,0.381,0.249,0
72,74,49,0.369,0.379,0.251,0
73,75,51,0.367,0.377,0.256,0
69,72,49,0.363,0.379,0.258,0
67,70,48,0.362,0.378,0.259,0
67,70,49,0.360,0.376,0.263,0
67,70,50,0.358,0.374,0.267,0
67,70,51,0.356,0.372,0.271,0
68,70,51,0.360,0.370,0.270,0
68,69,50,0.364,0.369,0.267,0
71,71,51,0.368,0.368,0.264,0
73,71,51,0.374,0.364,0.262,0
78,74,53,0.380,0.361,0.259,0
86,79,56,0.389,0.357,0.253,0
92,83,59,0.393,0.355,0.252,0
98,88,60,0.398,0.358,0.244,0
105,93,64,0.401,0.355,0.244,0
110,97,67,0.401,0.354,0.245,0
112,99,69,0.400,0.354,0.246,0
113,100,71,0.398,0.352,0.250,0
108,98,70,0.391,0.355,0.254,0
101,94,68,0.384,0.357,0.259,0
88,87,63,0.370,0.366,0.265,0
61,69,51,0.337,0.381,0.282,0
44,53,39,0.324,0.390,0.287,0
34,40,30,0.327,0.385,0.288,0
26,29,22,0.338,0.377,0.286,0
22,24,19,0.338,0.369,0.292,0
19,20,16,0.345,0.364,0.291,0
15,15,12,0.357,0.357,0.286,0
13,12,10,0.371,0.343,0.286,0
13,11,9,0.394,0.333,0.273,0
13,11,8,0.406,0.344,0.250,0
13,11,8,0.406,0.344,0.250,0
13,11,8,0.406,0.344,0.250,0
14,12,9,0.400,0.343,0.257,0
14,12,9,0.400,0.343,0.257,0
14,12,9,0.400,0.343,0.257,0
14,12,9,0.400,0.343,0.257,0
15,13,9,0.405,0.351,0.243,0
16,15,10,0.390,0.366,0.244,0
16,16,10,0.381,0.381,0.238,0
16,16,10,0.381,0.381,0.238,0
17,17,10,0.386,0.386,0.227,0
17,18,11,0.370,0.391,0.239,0
17,17,11,0.378,0.378,0.244,0
16,17,10,0.372,0.395,0.233,0
16,16,10,0.381,0.381,0.238,0
16,16,9,0.390,0.390,0.220,0
15,15,9,0.385,0.385,0.231,0
15,15,9,0.385,0.385,0.231,0
15,14,9,0.395,0.368,0.237,0
15,14,8,0.405,0.378,0.216,0
15,13,8,0.417,0.361,0.222,0
15,13,8,0.417,0.361,0.222,0
14,13,8,0.400,0.371,0.229,0
14,12,8,0.412,0.353,0.235,0
14,12,7,0.424,0.364,0.212,0
13,12,7,0.406,0.375,0.219,0
13,11,7,0.419,0.355,0.226,0
13,11,7,0.419,0.355,0.226,0
13,11,7,0.419,0.355,0.226,0
13,11,7,0.419,0.355,0.226,0
13,11,7,0.419,0.355,0.226,0
13,12,7,0.406,0.375,0.219,0
14,12,7,0.424,0.364,0.212,0
14,13,8,0.400,0.371,0.229,0
14,13,8,0.400,0.371,0.229,0
14,13,8,0.400,0.371,0.229,0
15,13,8,0.417,0.361,0.222,0
15,14,8,0.405,0.378,0.216,0
16,14,9,0.410,0.359,0.231,0
18,15,9,0.429,0.357,0.214,0
20,17,10,0.426,0.362,0.213,0
22,19,12,0.415,0.358,0.226,0
24,21,13,0.414,0.362,0.224,0
26,22,14,0.419,0.355,0.226,0
29,25,15,0.420,0.362,0.217,0
31,27,17,0.413,0.360,0.227,0
32,28,18,0.410,0.359,0.231,0
33,29,19,0.407,0.358,0.235,0
34,31,20,0.400,0.365,0.235,0
34,31,20,0.400,0.365,0.235,0
34,32,21,0.391,0.368,0.241,0
33,32,21,0.384,0.372,0.244,0
33,31,21,0.388,0.365,0.247,0
31,31,20,0.378,0.378,0.244,0
31,31,21,0.373,0.373,0.253,0
30,32,21,0.361,0.386,0.253,0
30,32,21,0.361,0.386,0.253,0
31,34,22,0.356,0.391,0.253,0
32,35,23,0.356,0.389,0.256,0
34,38,25,0.351,0.392,0.258,0
40,44,29,0.354,0.389,0.257,0
48,50,34,0.364,0.379,0.258,0
59,56,39,0.383,0.364,0.253,0
61,57,39,0.389,0.363,0.248,0
64,60,41,0.388,0.364,0.248,0
62,58,40,0.387,0.363,0.250,0
57,55,37,0.383,0.369,0.248,0
53,51,35,0.381,0.367,0.252,0
50,48,34,0.379,0.364,0.258,0
43,42,31,0.371,0.362,0.267,0
37,37,28,0.363,0.363,0.275,0
33,34,26,0.355,0.366,0.280,0
30,31,23,0.357,0.369,0.274,0
27,28,21,0.355,0.368,0.276,0
28,29,22,0.354,0.367,0.278,0
28,29,22,0.354,0.367,0.278,0
27,29,22,0.346,0.372,0.282,0
26,27,20,0.356,0.370,0.274,0
25,27,20,0.347,0.375,0.278,0
25,26,19,0.357,0.371,0.271,0
25,26,20,0.352,0.366,0.282,0
24,25,19,0.353,0.368,0.279,0
22,23,17,0.355,0.371,0.274,0
21,22,16,0.356,0.373,0.271,0
20,21,16,0.351,0.368,0.281,0
21,22,17,0.350,0.367,0.283,0
21,23,17,0.344,0.377,0.279,0
21,23,18,0.339,0.371,0.290,0
23,26,19,0.338,0.382,0.279,0
25,27,21,0.342,0.370,0.288,0
25,26,20,0.352,0.366,0.282,0
24,25,19,0.353,0.368,0.279,0
23,25,19,0.343,0.373,0.284,0
24,26,20,0.343,0.371,0.286,0
24,25,19,0.353,0.368,0.279,0
25,26,19,0.357,0.371,0.271,0
27,28,21,0.355,0.368,0.276,0
29,31,23,0.349,0.373,0.277,0
32,34,25,0.352,0.374,0.275,0
32,34,25,0.352,0.374,0.275,0
33,35,26,0.351,0.372,0.277,0
33,35,27,0.347,0.368,0.284,0
32,34,26,0.348,0.370,0.283,0
31,33,25,0.348,0.371,0.281,0
32,34,25,0.352,0.374,0.275,0
33,34,26,0.355,0.366,0.280,0
34,36,27,0.351,0.371,0.278,0
36,37,28,0.356,0.366,0.277,0
36,37,28,0.356,0.366,0.277,0
37,37,28,0.363,0.363,0.275,0
38,38,29,0.362,0.362,0.276,0
40,40,30,0.364,0.364,0.273,0
42,42,31,0.365,0.365,0.270,0
44,44,33,0.364,0.364,0.273,0
46,45,35,0.365,0.357,0.278,0
46,45,35,0.365,0.357,0.278,0
47,46,35,0.367,0.359,0.273,0
45,44,33,0.369,0.361,0.270,0
43,42,31,0.371,0.362,0.267,0
42,41,30,0.372,0.363,0.265,0
41,39,29,0.376,0.358,0.266,0
39,37,27,0.379,0.359,0.262,0
40,39,28,0.374,0.364,0.262,0
41,40,29,0.373,0.364,0.264,0
40,39,29,0.370,0.361,0.269,0
39,38,28,0.371,0.362,0.267,0
36,35,25,0.375,0.365,0.260,0
35,34,25,0.372,0.362,0.266,0
34,33,24,0.374,0.363,0.264,0
34,33,24,0.374,0.363,0.264,0
33,33,24,0.367,0.367,0.267,0
29,29,21,0.367,0.367,0.266,0
28,27,20,0.373,0.360,0.267,0
26,25,18,0.377,0.362,0.261,0
24,23,16,0.381,0.365,0.254,0
23,22,15,0.383,0.367,0.250,0
21,20,14,0.382,0.364,0.255,0
20,18,13,0.392,0.353,0.255,0
19,17,12,0.396,0.354,0.250,0
17,15,10,0.405,0.357,0.238,0
16,13,9,0.421,0.342,0.237,0
14,12,7,0.424,0.364,0.212,0
13,11,6,0.433,0.367,0.200,0
13,10,6,0.448,0.345,0.207,0
13,11,6,0.433,0.367,0.200,0
14,12,7,0.424,0.364,0.212,0
16,14,8,0.421,0.368,0.211,0
17,15,9,0.415,0.366,0.220,0
18,16,10,0.409,0.364,0.227,0
20,18,11,0.408,0.367,0.224,0
21,20,13,0.389,0.370,0.241,0
22,21,14,0.386,0.368,0.246,0
23,23,15,0.377,0.377,0.246,0
24,23,15,0.387,0.371,0.242,0
25,25,16,0.379,0.379,0.242,0
25,26,17,0.368,0.382,0.250,0
27,28,19,0.365,0.378,0.257,0
28,30,20,0.359,0.385,0.256,0
29,31,21,0.358,0.383,0.259,0
31,34,23,0.352,0.386,0.261,0
31,35,24,0.344,0.389,0.267,0
32,36,25,0.344,0.387,0.269,0
32,37,26,0.337,0.389,0.274,0
32,37,27,0.333,0.385,0.281,0
35,40,29,0.337,0.385,0.279,0
37,42,30,0.339,0.385,0.275,0
40,46,33,0.336,0.387,0.277,0
43,48,34,0.344,0.384,0.272,0
45,50,36,0.344,0.382,0.275,0
48,53,37,0.348,0.384,0.268,0
49,53,37,0.353,0.381,0.266,0
51,53,36,0.364,0.379,0.257,0
51,52,35,0.370,0.377,0.254,0
51,52,35,0.370,0.377,0.254,0
50,49,34,0.376,0.368,0.256,0
48,47,32,0.378,0.370,0.252,0
46,45,31,0.377,0.369,0.254,0
42,41,27,0.382,0.373,0.245,0
38,36,24,0.388,0.367,0.245,0
33,31,20,0.393,0.369,0.238,0
27,25,16,0.397,0.368,0.235,0
22,20,13,0.400,0.364,0.236,0
19,16,10,0.422,0.356,0.222,0
17,14,9,0.425,0.350,0.225,0
16,12,9,0.432,0.324,0.243,0
15,12,8,0.429,0.343,0.229,0
14,11,8,0.424,0.333,0.242,0
13,10,7,0.433,0.333,0.233,0
12,10,7,0.414,0.345,0.241,0
12,10,7,0.414,0.345,0.241,0
13,11,8,0.406,0.344,0.250,0
14,12,9,0.400,0.343,0.257,0
15,14,10,0.385,0.359,0.256,0
16,14,11,0.390,0.341,0.268,0
16,15,11,0.381,0.357,0.262,0
16,15,11,0.381,0.357,0.262,0
15,14,11,0.375,0.350,0.275,0
13,12,10,0.371,0.343,0.286,0
10,10,8,0.357,0.357,0.286,0
8,9,7,0.333,0.375,0.292,0
7,7,7,0.333,0.333,0.333,0
7,8,7,0.318,0.364,0.318,0
7,8,8,0.304,0.348,0.348,0
8,9,8,0.320,0.360,0.320,0
10,12,10,0.312,0.375,0.312,0
13,15,12,0.325,0.375,0.300,0
18,19,16,0.340,0.358,0.302,0
21,23,19,0.333,0.365,0.302,0
25,27,22,0.338,0.365,0.297,0
30,33,27,0.333,0.367,0.300,0
34,37,30,0.337,0.366,0.297,0
37,41,32,0.336,0.373,0.291,0
41,45,35,0.339,0.372,0.289,0
45,49,38,0.341,0.371,0.288,0
48,52,40,0.343,0.371,0.286,0
52,56,43,0.344,0.371,0.285,0
56,60,45,0.348,0.373,0.280,0
60,63,48,0.351,0.368,0.281,0
63,67,51,0.348,0.370,0.282,0
64,69,52,0.346,0.373,0.281,0
67,72,53,0.349,0.375,0.276,0
69,74,54,0.350,0.376,0.274,0
70,76,55,0.348,0.378,0.274,0
72,78,55,0.351,0.380,0.268,0
74,80,57,0.351,0.379,0.270,0
76,82,57,0.353,0.381,0.265,0
78,84,58,0.355,0.382,0.264,0
80,86,57,0.359,0.386,0.256,0
85,90,59,0.363,0.385,0.252,0
90,95,63,0.363,0.383,0.254,0
97,101,65,0.369,0.384,0.247,0
101,104,66,0.373,0.384,0.244,0
104,107,67,0.374,0.385,0.241,0
108,109,69,0.378,0.381,0.241,0
108,108,67,0.382,0.382,0.237,0
106,105,66,0.383,0.379,0.238,0
100,99,61,0.385,0.381,0.235,0
93,93,58,0.381,0.381,0.238,0
90,90,56,0.381,0.381,0.237,0
90,90,56,0.381,0.381,0.237,0
95,94,59,0.383,0.379,0.238,0
107,105,65,0.386,0.379,0.235,0
124,121,76,0.386,0.377,0.237,0
137,134,85,0.385,0.376,0.239,0
139,138,88,0.381,0.378,0.241,0
137,138,89,0.376,0.379,0.245,0
130,132,87,0.372,0.378,0.249,0
117,119,80,0.370,0.377,0.253,0
101,102,69,0.371,0.375,0.254,0
93,94,63,0.372,0.376,0.252,0
85,85,58,0.373,0.373,0.254,0
76,77,54,0.367,0.372,0.261,0
66,68,48,0.363,0.374,0.264,0
59,62,43,0.360,0.378,0.262,0
55,57,39,0.364,0.377,0.258,0
55,58,40,0.359,0.379,0.261,0
53,56,38,0.361,0.381,0.259,0
56,60,42,0.354,0.380,0.266,0
54,58,41,0.353,0.379,0.268,0
54,58,42,0.351,0.377,0.273,0
54,58,42,0.351,0.377,0.273,0
55,60,43,0.348,0.380,0.272,0
59,64,45,0.351,0.381,0.268,0
65,70,49,0.353,0.380,0.266,0
71,75,52,0.359,0.379,0.263,0
81,84,58,0.363,0.377,0.260,0
91,92,63,0.370,0.374,0.256,0
101,99,68,0.377,0.369,0.254,0
110,106,73,0.381,0.367,0.253,0
119,114,79,0.381,0.365,0.253,0
122,118,81,0.380,0.368,0.252,0
121,118,81,0.378,0.369,0.253,0
118,116,80,0.376,0.369,0.255,0
112,111,77,0.373,0.370,0.257,0
107,107,74,0.372,0.372,0.257,0
101,102,71,0.369,0.372,0.259,0
94,96,67,0.366,0.374,0.261,0
86,88,62,0.364,0.373,0.263,0
75,76,55,0.364,0.369,0.267,0
61,62,46,0.361,0.367,0.272,0
47,48,36,0.359,0.366,0.275,0
42,43,32,0.359,0.368,0.274,0
43,45,33,0.355,0.372,0.273,0
50,53,40,0.350,0.371,0.280,0
60,61,46,0.359,0.365,0.275,0
60,58,45,0.368,0.356,0.276,0
60,56,44,0.375,0.350,0.275,0
52,49,39,0.371,0.350,0.279,0
40,38,32,0.364,0.345,0.291,0
24,24,22,0.343,0.343,0.314,0
12,13,14,0.308,0.333,0.359,0
6,7,9,0.273,0.318,0.409,0
5,6,7,0.278,0.333,0.389,0
5,7,7,0.263,0.368,0.368,0
5,7,7,0.263,0.368,0.368,0
5,7,7,0.263,0.368,0.368,0
5,7,7,0.263,0.368,0.368,0
5,7,7,0.263,0.368,0.368,0
5,7,7,0.263,0.368,0.368,0
4,6,6,0.250,0.375,0.375,0
4,6,6,0.250,0.375,0.375,0
4,5,5,0.286,0.357,0.357,0
5,5,5,0.333,0.333,0.333,0
6,6,6,0.333,0.333,0.333,0
10,9,8,0.370,0.333,0.296,0
13,11,8,0.406,0.344,0.250,0
13,11,8,0.406,0.344,0.250,0
20,18,13,0.392,0.353,0.255,0
24,21,15,0.400,0.350,0.250,0
53,51,37,0.376,0.362,0.262,0
81,79,56,0.375,0.366,0.259,0
106,103,71,0.379,0.368,0.254,0
120,115,78,0.383,0.367,0.249,0
128,121,83,0.386,0.364,0.250,0
129,122,84,0.385,0.364,0.251,0
130,123,85,0.385,0.364,0.251,0
129,123,84,0.384,0.366,0.250,0
130,123,85,0.385,0.364,0.251,0
128,121,84,0.384,0.363,0.252,0
124,118,81,0.384,0.365,0.251,0
118,113,78,0.382,0.366,0.252,0
113,108,75,0.382,0.365,0.253,0
109,105,72,0.381,0.367,0.252,0
104,101,69,0.380,0.369,0.252,0
97,96,65,0.376,0.372,0.252,0
90,91,61,0.372,0.376,0.252,0
81,84,58,0.363,0.377,0.260,0
72,77,53,0.356,0.381,0.262,0
66,71,50,0.353,0.380,0.267,0
62,67,48,0.350,0.379,0.271,0
56,61,42,0.352,0.384,0.264,0
50,53,37,0.357,0.379,0.264,0
43,44,30,0.368,0.376,0.256,0
39,39,26,0.375,0.375,0.250,0
36,35,23,0.383,0.372,0.245,0
32,32,21,0.376,0.376,0.247,0
32,31,20,0.386,0.373,0.241,0
32,30,20,0.390,0.366,0.244,0
32,30,21,0.386,0.361,0.253,0
29,27,19,0.387,0.360,0.253,0
28,27,19,0.378,0.365,0.257,0
27,26,19,0.375,0.361,0.264,0
24,23,17,0.375,0.359,0.266,0
28,27,20,0.373,0.360,0.267,0
28,28,21,0.364,0.364,0.273,0
33,33,24,0.367,0.367,0.267,0
31,31,22,0.369,0.369,0.262,0
30,29,21,0.375,0.363,0.262,0
32,32,23,0.368,0.368,0.264,0
30,29,21,0.375,0.363,0.262,0
29,29,21,0.367,0.367,0.266,0
29,30,23,0.354,0.366,0.280,0
28,30,24,0.341,0.366,0.293,0
27,29,25,0.333,0.358,0.309,0
28,31,27,0.326,0.360,0.314,0
30,33,30,0.323,0.355,0.323,0
28,32,29,0.315,0.360,0.326,0
28,31,29,0.318,0.352,0.330,0
26,29,27,0.317,0.354,0.329,0
27,29,26,0.329,0.354,0.317,0
27,27,22,0.355,0.355,0.289,0
29,29,22,0.363,0.363,0.275,0
31,30,22,0.373,0.361,0.265,0
35,34,25,0.372,0.362,0.266,0
40,38,27,0.381,0.362,0.257,0
42,41,29,0.375,0.366,0.259,0
47,45,32,0.379,0.363,0.258,0
48,46,32,0.381,0.365,0.254,0
48,47,33,0.375,0.367,0.258,0
49,48,34,0.374,0.366,0.260,0
50,49,34,0.376,0.368,0.256,0
50,49,34,0.376,0.368,0.256,0
49,47,33,0.380,0.364,0.256,0
47,45,31,0.382,0.366,0.252,0
39,37,26,0.382,0.363,0.255,0
24,24,17,0.369,0.369,0.262,0
13,15,14,0.310,0.357,0.333,0
12,17,19,0.250,0.354,0.396,0
15,19,23,0.263,0.333,0.404,0
16,21,24,0.262,0.344,0.393,0
17,24,23,0.266,0.375,0.359,0
22,29,24,0.293,0.387,0.320,0
28,33,25,0.326,0.384,0.291,0
35,38,27,0.350,0.380,0.270,0
41,43,29,0.363,0.381,0.257,0
45,46,31,0.369,0.377,0.254,0
46,46,31,0.374,0.374,0.252,0
44,45,29,0.373,0.381,0.246,0
42,42,28,0.375,0.375,0.250,0
40,39,26,0.381,0.371,0.248,0
38,38,27,0.369,0.369,0.262,0
36,36,25,0.371,0.371,0.258,0
32,33,23,0.364,0.375,0.261,0
27,27,18,0.375,0.375,0.250,0
24,23,15,0.387,0.371,0.242,0
21,20,13,0.389,0.370,0.241,0
19,18,11,0.396,0.375,0.229,0
18,16,10,0.409,0.364,0.227,0
16,15,9,0.400,0.375,0.225,0
16,15,10,0.390,0.366,0.244,0
16,15,10,0.390,0.366,0.244,0
17,15,10,0.405,0.357,0.238,0
17,17,12,0.370,0.370,0.261,0
18,18,13,0.367,0.367,0.265,0
20,21,15,0.357,0.375,0.268,0
20,20,16,0.357,0.357,0.286,0
18,20,17,0.327,0.364,0.309,0
15,18,16,0.306,0.367,0.327,0
12,15,14,0.293,0.366,0.341,0
9,12,11,0.281,0.375,0.344,0
6,10,8,0.250,0.417,0.333,0
6,10,8,0.250,0.417,0.333,0
6,10,8,0.250,0.417,0.333,0
6,11,10,0.222,0.407,0.370,0
6,11,12,0.207,0.379,0.414,0
6,10,11,0.222,0.370,0.407,0
5,10,9,0.208,0.417,0.375,0
6,11,10,0.222,0.407,0.370,0
6,11,10,0.222,0.407,0.370,0
